brand,model,year,body,price,car_mileage,fuel,power,transmission
11,816,2006.0,7,5350.0,220.0,0,2.0,2
29,564,2017.0,7,17000.0,211.0,0,2.0,2
25,852,2015.0,7,15200.0,157.0,0,2.0,2
11,816,2000.0,7,4999.0,300.0,0,2.0,2
21,762,2010.0,7,20700.0,682.0,0,3.0,1
35,582,2017.0,7,49750.707824963494,39.0,0,2.0,3
37,784,2002.0,7,12900.0,270.0,0,2.0,2
2,144,2000.0,7,6999.0,331.0,0,3.0,1
37,261,2004.0,7,7300.0,230.0,0,2.0,2
25,852,2007.0,7,8500.0,180.0,0,2.0,2
28,625,2013.0,7,43900.0,87.0,2,4.0,4
21,762,2005.0,7,9300.0,300.0,0,2.0,2
21,762,2015.0,7,16500.0,170.0,0,2.0,2
37,786,2016.0,7,18300.0,108.0,0,2.0,2
25,852,2008.0,7,8800.0,253.0,0,2.0,3
21,762,2014.0,7,15800.0,8000.0,0,2.0,1
29,564,2016.0,7,14300.0,168.0,0,2.0,2
21,90,1994.0,7,3600.0,20.0,0,3.0,2
21,762,2017.0,7,29400.0,170.0,0,2.0,2
21,851,2009.0,7,12500.0,315.0,0,3.0,4
29,815,2007.0,7,9099.0,307.0,0,2.0,2
21,851,2012.0,7,10700.0,251.0,0,2.0,2
21,762,2000.0,7,5555.0,400.0,0,2.0,2
21,762,2005.0,7,16700.0,43.0,0,2.0,3
26,413,2008.0,7,6500.0,150.0,2,1.0,1
10,348,2006.0,7,5000.0,385.0,0,2.0,3
25,484,2012.0,7,10300.0,189.0,0,2.0,2
21,762,2005.0,7,10000.0,793.0,0,2.0,2
37,785,2009.0,7,10500.0,254.0,0,2.0,2
21,762,2004.0,7,7999.0,230.0,0,2.0,2
29,564,2015.0,7,14550.0,174.0,0,2.0,2
23,524,1991.30141207372,7,1880.0,300.0,2,2.0,2
1,187,2013.0,7,24500.0,90.0,2,3.0,1
29,564,2009.0,7,9500.0,230.0,0,2.0,2
37,785,2006.0,7,8200.0,243.0,0,2.0,2
29,564,2007.0,7,8700.0,322.0,0,2.0,2
21,762,2005.0,7,8300.0,365.0,0,2.0,2
7,344,2013.0,7,7950.0,140.0,1,2.0,2
11,816,2015.0,7,14900.0,131.0,0,2.0,2
11,816,2016.0,7,18399.0,240.0,0,2.0,2
25,852,2006.0,7,9400.0,198.0,0,2.0,3
1,167,1991.30141207372,7,3500.0,300.0,2,2.0,2
21,762,2016.0,7,15400.0,226.0,0,2.0,2
21,762,2010.0,7,13700.0,498.0,0,2.0,1
37,323,2009.0,7,14000.0,480.0,0,2.0,2
37,272,1998.0,7,16575.0,248.0,2,3.0,2
21,762,2008.0,7,11500.0,360.0,0,2.0,2
11,816,2006.0,7,5800.0,217.0,0,2.0,2
25,589,2005.0,7,6199.0,220.0,0,2.0,2
37,323,2012.0,7,11500.0,299.0,0,2.0,2
29,564,2005.0,7,7200.0,270.0,0,2.0,2
21,762,2013.0,7,18900.0,263.0,0,2.0,2
21,762,2007.0,7,12400.0,400.0,0,2.0,2
29,564,2017.0,7,27897.0,59.0,0,2.0,2
37,592,2011.0,7,23000.0,118.0,0,2.0,1
25,852,2006.0,7,8000.0,232.0,0,2.0,2
25,852,2015.0,7,13100.0,184.0,0,2.0,2
23,621,2011.0,7,11900.0,142.0,0,2.0,2
25,888,2004.0,7,6500.0,176.0,1,2.0,1
25,852,2005.0,7,7500.0,310.0,0,2.0,2
21,762,2006.0,7,9300.0,320.0,0,2.0,2
21,762,2012.0,7,19000.0,358.0,0,3.0,1
36,529,2013.0,7,25990.0,131.0,1,3.0,1
29,815,2017.0,7,13700.0,162.0,0,2.0,2
21,851,1999.0,7,5000.0,300.0,0,2.0,2
21,351,2000.0,7,6200.0,270.0,0,2.0,3
21,762,2007.0,7,15500.0,385.0,0,2.0,2
21,762,2010.0,7,20199.0,255.0,0,2.0,2
39,57,2010.0,7,3900.0,128.0,1,2.0,2
24,644,2006.0,7,8700.0,168.0,0,2.0,2
11,816,2005.0,7,6200.0,200.0,0,2.0,2
21,762,2011.0,7,21500.0,320.0,0,2.0,2
21,851,2005.0,7,10900.0,300.0,0,2.0,2
29,564,2017.0,7,15600.0,121.0,0,2.0,2
21,851,2006.0,7,7250.0,377.0,0,2.0,2
21,762,2010.0,7,20500.0,120.0,0,2.0,2
29,510,2010.0,7,8600.0,250.0,0,2.0,2
10,343,2009.0,7,6600.0,186.0,0,2.0,2
21,851,2004.0,7,6800.0,340.0,0,2.0,2
29,510,2011.0,7,8200.0,175.0,2,2.0,2
29,815,2008.0,7,9699.0,200.0,0,2.0,2
29,564,1999.0,7,4999.0,300.0,0,3.0,2
37,784,2003.0,7,7000.0,370.0,0,2.0,2
25,573,2008.0,7,6650.0,50.0,2,2.0,0
21,851,2006.0,7,10500.0,203.0,0,2.0,2
25,308,2010.0,7,6700.0,172.0,0,1.0,2
6,500,2006.0,7,5600.0,380.0,0,2.0,2
29,564,2015.0,7,13300.0,219.0,0,2.0,2
6,234,2013.0,7,5800.0,227.0,0,2.0,2
22,313,2013.0,7,18800.0,72.0,0,2.0,4
17,281,2008.0,7,6250.0,195.0,0,2.0,2
21,762,1997.0,7,3600.0,400.0,0,3.0,2
27,240,2002.0,7,4600.0,308.0,0,2.0,2
21,851,1999.0,7,4700.0,415.0,0,2.0,2
29,815,2015.0,7,14600.0,156.0,0,2.0,2
21,851,2004.0,7,8500.0,403.0,0,2.0,4
29,564,2016.0,7,13200.0,170.0,0,2.0,2
21,762,2015.0,7,13200.0,234.0,0,2.0,2
37,261,2012.0,7,10000.0,232.0,0,2.0,1
21,847,2009.0,7,14700.0,317.0,0,2.0,1
21,851,2003.0,7,8600.0,373.0,0,2.0,1
21,762,2000.0,7,7950.0,1.0,0,2.0,2
21,851,2003.0,7,9381.0,1.0,0,2.0,2
37,784,2002.0,7,4900.0,400.0,0,2.0,2
37,785,2009.0,7,10700.0,220.0,0,2.0,2
21,762,2005.0,7,13500.0,1.0,0,2.0,3
25,852,2007.0,7,9960.0,218.0,0,2.0,2
29,510,2008.0,7,5500.0,120.0,0,2.0,2
37,547,2000.0,7,10700.0,147.0,0,2.0,3
29,510,2010.0,7,7300.0,110.0,2,2.0,2
21,762,2005.0,7,12999.0,960.0,0,3.0,2
10,134,2014.0,7,9999.0,10.0,0,2.0,3
37,547,1999.0,7,5500.0,614.0,0,2.0,2
29,564,2012.0,7,9700.0,285.0,0,2.0,1
21,762,2016.0,7,20500.0,197.0,0,2.0,2
21,851,2010.0,7,11700.0,260.0,0,2.0,2
11,816,2014.0,7,20000.0,166.0,2,4.0,1
29,564,2003.0,7,5500.0,666.0,0,2.0,2
21,762,2005.0,7,16499.0,680.0,0,3.0,2
21,762,2005.0,7,8688.0,470.0,0,2.0,2
29,815,2005.0,7,7700.0,223.0,0,2.0,2
36,681,2011.0,7,15700.0,160.0,1,2.0,1
29,815,2016.0,7,15999.0,178.0,0,2.0,2
37,785,2009.0,7,12000.0,322.0,0,2.0,2
21,762,1998.0,7,11500.0,350.0,0,2.0,2
25,852,2012.0,7,12500.0,238.0,0,2.0,2
37,261,2016.0,7,8599.0,200.0,0,2.0,2
37,785,2008.0,7,9800.0,312.0,0,2.0,2
21,762,2008.0,7,15000.0,462.0,0,2.0,2
29,564,2000.0,7,6600.0,291.0,0,2.0,2
11,816,2005.0,7,4300.0,397.0,0,2.0,2
21,762,2014.0,7,25999.0,250.0,0,2.0,1
10,651,2008.0,7,4750.0,168.0,2,1.0,2
25,589,2010.0,7,10500.0,335.0,0,2.0,2
21,851,2014.0,7,13200.0,160.0,0,2.0,2
21,762,2003.0,7,14000.0,255.0,0,3.0,2
21,762,2006.0,7,8600.0,480.0,0,2.0,2
26,107,2007.0,7,3400.0,360.0,1,2.0,2
39,60,2007.0,7,3800.0,118.0,1,2.0,2
29,564,2012.0,7,10800.0,240.0,0,2.0,2
37,323,2007.0,7,8150.0,276.0,0,2.0,1
1,185,2011.0,7,16500.0,230.0,2,2.0,1
21,762,2004.0,7,9000.0,301.0,0,2.0,2
29,815,2015.0,7,15700.0,167.0,0,2.0,2
21,762,2005.0,7,11300.0,400.0,0,3.0,2
21,762,2015.0,7,17950.0,187.0,0,2.0,2
21,762,2016.0,7,26000.0,136.0,0,2.0,2
37,261,2015.0,7,13999.0,176.0,0,2.0,1
27,240,2013.0,7,15500.0,230.0,0,2.0,2
11,816,2006.0,7,7200.0,282.0,0,2.0,2
27,628,2007.0,7,4399.0,170.0,0,2.0,2
37,261,2008.0,7,8200.0,288.0,0,2.0,2
29,510,2006.0,7,4800.0,196.0,0,2.0,2
11,816,2015.0,7,13500.0,124.0,0,2.0,2
21,762,2001.0,7,10200.0,176.0,0,2.0,2
37,784,2002.0,7,6350.0,354.0,0,2.0,2
25,589,2006.0,7,7750.0,190.0,0,2.0,2
37,785,2006.0,7,7600.0,443.0,0,2.0,2
29,510,2008.0,7,6200.0,314.0,0,2.0,2
29,564,2013.0,7,12300.0,245.0,0,2.0,2
37,786,2011.0,7,10000.0,180.0,0,2.0,2
29,564,2015.0,7,12200.0,134.0,0,2.0,2
10,348,2008.0,7,9500.0,151.0,0,2.0,2
37,547,2006.0,7,12800.0,279.0,0,3.0,2
37,323,2008.0,7,15025.0,325.0,0,2.0,2
37,784,2002.0,7,7500.0,270.0,0,2.0,2
21,762,1999.0,7,7500.0,345.0,0,3.0,2
21,851,2004.0,7,9600.0,390.0,0,2.0,2
21,851,2015.0,7,20950.0,200.0,0,2.0,2
21,762,2005.0,7,11000.0,14.0,0,2.0,2
21,851,2011.0,7,14300.0,189.0,0,2.0,2
21,851,2009.0,7,9500.0,160.0,0,2.0,2
37,785,2006.0,7,8400.0,261.0,0,2.0,2
29,564,2012.0,7,12200.0,217.0,0,2.0,2
37,547,1991.30141207372,7,2000.0,300.0,0,2.0,2
37,784,2003.0,7,8800.0,265.0,0,2.0,3
37,261,2013.0,7,10800.0,210.0,0,2.0,2
27,628,2015.0,7,7299.0,160.0,0,2.0,2
29,510,2004.0,7,4000.0,1.0,0,2.0,2
27,628,2005.0,7,4800.0,228.0,0,2.0,2
29,510,2006.0,7,4800.0,192.0,0,2.0,2
37,784,2001.0,7,5400.0,394.0,0,2.0,2
21,851,2009.0,7,15700.0,192.0,0,2.0,1
10,348,2008.0,7,9500.0,108.0,0,2.0,2
37,323,2015.0,7,15500.0,144.0,0,2.0,2
29,564,2018.0,7,15800.0,124.0,0,2.0,2
37,547,1999.0,7,6800.0,374.0,0,3.0,2
26,107,2005.0,7,4000.0,100.0,0,2.0,2
37,323,2013.0,7,18900.0,175.0,0,2.0,2
29,564,2007.0,7,9000.0,440.0,0,2.0,2
29,564,2016.0,7,12700.0,185.0,0,2.0,2
37,784,1996.0,7,5500.0,398.0,0,2.0,2
37,547,2004.0,7,9300.0,280.0,0,2.0,2
21,762,2014.0,7,21900.0,202.0,0,2.0,1
17,756,2015.0,7,11500.0,53.0,2,2.0,1
21,762,2013.0,7,19500.0,270.0,0,3.0,2
21,851,2008.0,7,12200.0,370.0,0,2.0,4
21,762,2013.0,7,13500.0,250.0,0,2.0,2
21,762,2004.0,7,9200.0,420.0,0,3.0,2
37,547,2003.0,7,8500.0,1.0,0,2.0,3
29,564,2000.0,7,4000.0,693.0,0,2.0,2
21,762,2016.0,7,28500.0,203.0,0,3.0,1
29,564,2015.0,7,11700.0,179.0,0,2.0,2
37,442,2016.0,7,13759.0,200.0,0,2.0,1
14,456,2000.0,7,5700.0,250.0,0,2.0,2
26,108,2003.0,7,2300.0,230.0,0,2.0,2
11,816,2002.0,7,5000.0,335.0,0,2.0,3
25,852,2003.0,7,7500.0,254.0,0,2.0,3
37,782,1991.30141207372,7,3400.0,180.0,0,2.0,2
37,261,2015.0,7,7499.0,90.0,0,2.0,2
37,272,2002.0,7,9400.0,388.0,2,2.0,2
29,564,2016.0,7,14650.0,174.0,0,2.0,2
26,81,2001.0,7,2000.0,56.0,1,3.0,2
21,851,2011.0,7,12900.0,206.0,0,2.0,2
11,816,2016.0,7,13999.0,170.0,0,2.0,2
37,323,2010.0,7,11300.0,247.0,0,2.0,2
21,38,2000.0,7,5000.0,250.0,0,3.0,2
21,762,2001.0,7,7500.0,370.0,0,2.0,1
25,589,2006.0,7,7200.0,221.0,0,2.0,2
37,785,2007.0,7,9500.0,320.0,0,2.0,2
29,564,2000.0,7,4750.0,300.0,0,2.0,2
21,762,2010.0,7,16900.0,263.0,0,3.0,1
37,784,1997.0,7,4500.0,1.0,0,2.0,2
37,547,2005.0,7,9150.0,350.0,0,2.0,2
21,762,1999.0,7,1500.0,350.0,0,2.0,3
26,128,1992.0,7,4500.0,225.0,2,2.0,2
24,644,2005.0,7,8500.0,247.0,0,2.0,2
29,510,2009.0,7,6100.0,167.0,0,2.0,2
27,383,2016.0,7,11700.0,149.0,0,2.0,2
37,261,2012.0,7,8300.0,250.0,0,2.0,2
13,191,2018.0,10,24100.0,28.0,2,2.0,1
11,420,2013.0,10,13900.0,134.0,1,2.0,1
13,191,2008.0,10,11800.0,130.0,1,2.0,1
37,629,2010.0,10,11300.0,156.0,2,2.0,1
11,586,2010.0,10,11600.0,160.0,1,2.0,1
37,495,2017.0,10,11500.0,86.0,2,1.0,1
13,191,2010.0,10,11700.0,126.0,1,2.0,1
36,267,2018.0,10,24500.0,14.0,2,2.0,1
11,420,2017.0,10,19500.0,58.0,0,2.0,1
37,629,2013.0,10,12199.0,108.0,2,2.0,1
1,2,1991.30141207372,10,3600.0,240.0,0,2.0,3
36,267,2007.0,10,10800.0,183.0,1,4.0,1
6,254,2012.0,10,6888.0,184.0,0,2.0,2
37,629,2014.0,10,9999.0,161.0,2,2.0,1
13,191,2012.0,10,15569.0,101.0,1,2.0,1
21,246,2006.0,10,7700.0,193.0,2,2.0,1
26,509,2008.0,10,3050.0,120.0,2,1.0,2
4,371,2008.0,10,6500.0,199.0,1,2.0,2
33,536,2008.0,10,7700.0,137.0,1,2.0,1
21,703,2015.0,10,49750.707824963494,60.0,2,4.8807182072852875,1
14,363,2013.0,10,11300.0,137.0,2,2.0,1
14,363,2016.0,10,14700.0,35.0,2,2.0,1
37,629,2017.0,10,14900.0,56.0,2,2.0,1
36,267,2018.0,10,27900.0,16.0,2,2.0,1
37,629,2014.0,10,14100.0,91.0,2,2.0,4
2,139,2011.0,10,22300.0,140.0,0,2.0,1
2,140,2010.0,10,16800.0,155.0,2,2.0,1
13,191,2011.0,10,12200.0,130.0,2,2.0,1
17,690,2013.0,10,10600.0,57.0,2,1.0,1
15,554,2007.0,10,12700.0,169.0,1,4.0,1
7,545,2009.0,10,6500.0,136.0,1,2.0,2
13,191,2007.0,10,9300.0,156.0,1,2.0,1
2,141,2006.0,10,7499.0,300.0,0,2.0,1
4,853,2016.0,10,19500.0,60.0,0,2.0,3
14,190,2011.0,10,9800.0,59.0,2,1.0,2
11,420,2013.0,10,11999.0,141.0,1,2.0,1
31,613,2009.0,10,8500.0,144.0,2,2.0,1
31,613,2013.0,10,15500.0,125.0,0,2.0,1
8,733,2011.0,10,4000.0,117.0,1,1.0,2
1,184,2012.0,10,13999.0,80.0,2,2.0,1
2,142,2014.0,10,21600.0,105.0,2,2.0,1
1,186,2007.0,10,9900.0,289.0,0,3.0,4
14,363,2012.0,10,10300.0,180.0,2,2.0,1
40,531,2012.0,10,4700.0,70.0,0,2.0,2
25,615,1998.0,10,3300.0,230.0,1,2.0,2
20,85,2016.0,10,12500.0,68.0,2,2.0,4
2,97,2001.0,10,6500.0,277.0,1,2.0,2
2,163,2003.0,10,7500.0,360.0,1,4.0,1
2,139,2013.0,10,27700.0,117.0,0,2.0,1
37,629,1991.30141207372,10,2600.0,230.0,1,2.0,2
31,613,2010.0,10,8850.0,195.0,2,2.0,2
33,536,2015.0,10,14300.0,85.0,1,2.0,1
31,613,2013.0,10,11300.0,183.0,0,2.0,2
20,149,2004.0,10,5700.0,225.0,1,2.0,1
11,407,2012.0,10,9500.0,105.0,2,2.0,2
11,420,2016.0,10,13550.0,77.0,1,2.0,1
17,618,2012.0,10,13725.0,114.0,0,2.0,1
1,188,2013.0,10,28200.0,105.0,2,3.0,1
21,703,2006.0,10,14200.0,175.0,0,2.0,3
2,99,2015.0,10,19500.0,72.0,2,2.0,1
23,528,2007.0,10,7500.0,244.0,1,2.0,1
14,363,2013.0,10,12400.0,75.0,1,2.0,1
1,186,2012.0,10,15500.0,182.0,2,2.0,1
23,528,2005.0,10,5400.0,196.0,2,2.0,2
11,399,2013.0,10,7550.0,86.0,2,2.0,1
26,663,2005.0,10,11999.0,97.0,2,4.0,1
37,629,2014.0,10,12250.0,93.0,2,2.0,1
11,420,2017.0,10,15888.0,46.0,1,2.0,1
26,875,2016.0,10,25500.0,112.0,0,2.0,1
4,224,2006.0,10,5500.0,98.0,2,2.0,2
2,142,2014.0,10,23000.0,130.0,2,2.0,4
11,420,2018.0,10,17200.0,13.0,2,2.0,4
21,351,2007.0,10,11500.0,190.0,1,3.0,1
8,733,2005.0,10,2750.0,130.0,1,1.0,2
1,186,2012.0,10,24900.0,120.0,0,3.0,1
37,629,2015.0,10,13499.0,73.0,2,2.0,1
21,351,2012.0,10,14900.0,219.0,0,2.0,1
36,267,2012.0,10,12700.0,203.0,1,2.0,1
31,613,2001.0,10,1299.0,250.0,0,2.0,2
33,536,2016.0,10,15700.0,52.0,2,2.0,3
11,407,2013.0,10,10600.0,72.0,1,2.0,1
31,613,2013.0,10,10700.0,162.0,2,1.0,2
19,450,2000.0,10,7600.0,240.0,2,3.0,1
37,280,2011.0,10,10300.0,190.0,2,2.0,1
17,618,2012.0,10,12100.0,124.0,0,2.0,1
37,629,2014.0,10,14000.0,152.0,0,2.0,1
26,580,2016.0,10,24999.0,8.0,2,3.0,1
17,283,2008.0,10,6400.0,144.0,1,2.0,2
17,618,2014.0,10,11900.0,120.0,1,2.0,1
26,876,1992.0,10,13850.0,140.0,2,4.0,1
36,267,2007.0,10,11999.0,158.0,2,2.0,1
37,629,2017.0,10,16300.0,45.0,2,2.0,1
19,450,2007.0,10,12999.0,155.0,2,4.0,4
17,283,2007.0,10,5500.0,180.0,2,2.0,2
35,582,2015.0,10,39999.0,38.0,0,2.0,1
17,618,2014.0,10,10600.0,32.0,2,2.0,1
37,495,2017.0,10,13399.0,60.0,2,1.0,1
37,629,2014.0,10,11499.0,127.0,2,2.0,1
13,293,2011.0,10,8500.0,150.0,1,2.0,2
39,58,2007.0,10,3800.0,81.0,1,2.0,2
37,629,2008.0,10,9800.0,87.0,2,2.0,1
24,569,2016.0,10,23500.0,95.0,2,4.0,1
14,363,2015.0,10,11900.0,76.0,2,2.0,1
28,625,2011.0,10,29899.0,99.0,2,4.0,1
37,629,2015.0,10,17000.0,37.0,0,2.0,4
4,479,2015.0,10,18999.0,75.0,2,2.0,1
39,19,2007.0,10,3500.0,160.0,1,2.0,2
14,363,2013.0,10,10650.0,82.0,2,2.0,1
21,351,2002.0,10,9000.0,295.0,0,3.0,1
36,267,2014.0,10,19200.0,88.0,2,2.0,1
2,109,2009.0,10,14900.0,159.0,0,3.0,1
17,618,2017.0,10,13800.0,34.0,2,2.0,1
15,423,2010.0,10,12600.0,171.0,2,2.0,1
24,569,2006.0,10,7300.0,173.0,1,2.0,1
33,480,2004.0,10,18000.0,5.0,2,2.0,2
36,267,2010.0,10,11900.0,159.0,1,2.0,1
31,613,2014.0,10,13300.0,119.0,2,1.0,1
37,629,2015.0,10,13200.0,75.0,2,2.0,1
37,629,2015.0,10,13600.0,64.0,2,2.0,1
14,363,2011.0,10,10000.0,187.0,2,2.0,1
29,780,2009.0,10,4900.0,107.0,2,1.0,2
36,315,2011.0,10,8499.0,173.0,2,1.0,2
15,655,2015.0,10,19999.0,130.0,0,2.0,1
23,528,2009.0,10,9777.0,74.0,2,2.0,1
20,149,2014.0,10,11999.0,200.0,2,2.0,1
21,703,2008.0,10,14800.0,197.0,2,4.8807182072852875,4
31,613,2017.0,10,21000.0,104.0,0,2.0,1
21,351,1998.0,10,4900.0,326.0,1,2.0,1
33,480,2017.0,10,16200.0,27.0,2,2.0,1
25,839,2001.0,10,4950.0,157.0,2,2.0,2
19,450,2011.0,10,17999.0,130.0,2,4.0,1
37,239,2004.0,10,5850.0,220.0,2,2.0,2
4,371,2007.0,10,6400.0,88.0,2,2.0,2
1,186,2013.0,10,25999.0,199.0,0,3.0,1
2,145,2013.0,10,22222.0,110.0,2,3.0,4
24,569,2005.0,10,6900.0,140.0,2,2.0,1
37,354,2016.0,10,17500.0,15.0,0,2.0,3
21,703,2008.0,10,19999.0,157.0,2,4.0,4
37,354,2016.0,10,15300.0,27.0,0,2.0,1
11,420,2015.0,10,17300.0,75.0,0,2.0,3
35,582,2018.0,10,47000.0,2.0,0,2.0,3
24,202,2016.0,10,13900.0,35.0,2,2.0,1
21,703,2011.0,10,39500.0,52.0,2,4.8807182072852875,1
20,149,2016.0,10,14900.0,60.0,2,2.0,1
31,613,2013.0,10,13700.0,195.0,0,2.0,2
31,613,2014.0,10,13100.0,166.0,0,2.0,2
2,144,2005.0,10,12100.0,270.0,0,3.0,1
20,85,2016.0,10,13600.0,89.0,2,2.0,1
14,190,2011.0,10,8500.0,109.0,2,2.0,1
37,495,2015.0,10,11700.0,123.0,2,2.0,1
39,50,2008.0,10,4400.0,123.0,2,2.0,2
13,191,2000.0,10,4600.0,225.0,2,2.0,2
2,104,2007.0,10,11700.0,127.0,0,3.0,2
2,162,2012.0,10,25999.0,170.0,2,3.0,4
25,839,2003.0,10,5350.0,187.0,1,2.0,2
2,139,2014.0,10,21250.0,142.0,0,2.0,1
21,351,1994.0,10,4700.0,350.0,0,2.0,2
8,604,2008.0,10,3100.0,214.0,1,2.0,2
20,149,2009.0,10,9790.0,153.0,1,2.0,1
37,629,2012.0,10,12200.0,173.0,2,2.0,1
14,754,2016.0,10,15900.0,41.0,2,2.0,1
4,562,2016.0,10,12900.0,90.0,2,2.0,1
21,703,2006.0,10,17500.0,260.0,2,4.8807182072852875,1
11,420,2012.0,10,13500.0,78.0,2,2.0,1
37,629,2012.0,10,12500.0,172.0,2,2.0,1
1,186,2005.0,10,9200.0,243.0,0,3.0,1
21,351,2013.0,10,22999.0,112.0,0,2.0,1
36,267,2015.0,10,19500.0,75.0,0,2.0,1
19,373,2008.0,10,12800.0,180.0,1,4.0,1
36,267,2014.0,10,13500.0,156.0,1,2.0,1
21,351,2013.0,10,23200.0,114.0,0,2.0,1
0,478,2017.0,10,15450.0,18.0,2,2.0,1
17,283,2007.0,10,5600.0,184.0,1,2.0,2
31,613,2007.0,10,7499.0,191.0,0,2.0,2
4,379,2005.0,10,6800.0,169.0,1,2.0,1
4,853,2014.0,10,14200.0,64.0,0,1.0,1
13,191,2013.0,10,13900.0,62.0,2,2.0,1
39,50,2004.0,10,2300.0,179.0,2,2.0,2
31,613,2009.0,10,8800.0,115.0,2,2.0,2
37,629,2008.0,10,8500.0,230.0,0,2.0,1
36,267,2014.0,10,13200.0,64.0,2,2.0,1
31,613,2013.0,10,9600.0,270.0,0,2.0,2
1,188,2013.0,10,29999.0,136.0,2,3.0,1
11,420,2014.0,10,12999.0,123.0,2,2.0,1
17,560,2008.0,10,8200.0,94.0,1,2.0,1
1,184,2013.0,10,13200.0,96.0,2,2.0,1
2,162,1998.0,10,4000.0,260.0,1,4.0,1
37,495,2013.0,10,10700.0,150.0,2,1.0,2
17,618,2015.0,10,14500.0,72.0,2,2.0,1
11,407,2014.0,10,9900.0,150.0,0,2.0,1
31,773,2008.0,10,9300.0,185.0,2,2.0,2
36,315,2008.0,10,7300.0,159.0,2,2.0,1
8,604,2006.0,10,4000.0,78.0,1,2.0,2
20,149,2007.0,10,7400.0,205.0,2,2.0,2
21,351,1997.0,10,4500.0,330.0,0,3.0,1
2,145,2010.0,10,12999.0,200.0,2,3.0,1
2,558,2016.0,10,49750.707824963494,40.0,2,4.0,1
23,427,2008.0,10,8300.0,154.0,2,2.0,1
27,121,2013.0,10,9400.0,92.0,0,2.0,2
24,569,1995.0,10,3500.0,260.0,1,2.0,2
24,607,2009.0,10,8400.0,120.0,2,2.0,1
29,572,2002.0,10,3700.0,250.0,0,2.0,3
2,139,2010.0,10,22000.0,128.0,0,2.0,1
37,495,2016.0,10,12500.0,143.0,0,2.0,2
37,495,1991.30141207372,10,1500.0,1.0,2,2.0,2
31,773,2013.0,10,12200.0,95.0,2,2.0,1
21,703,2011.0,10,23500.0,220.0,0,3.0,1
4,853,2017.0,10,20900.0,58.0,0,2.0,1
14,754,2016.0,10,13333.0,130.0,2,2.0,1
36,267,2006.0,10,10800.0,203.0,2,4.0,4
23,528,2008.0,10,8300.0,147.0,2,2.0,2
37,239,2000.0,10,4900.0,265.0,1,2.0,2
21,703,2016.0,10,49750.707824963494,56.0,0,3.0,1
15,555,2012.0,10,17500.0,230.0,0,2.0,1
19,373,2007.0,10,12999.0,187.0,1,4.0,1
37,629,2016.0,10,17300.0,60.0,2,2.0,1
0,808,2018.0,10,22500.0,5.0,2,2.0,1
39,50,1994.0,10,1650.0,220.0,2,2.0,2
1,184,2013.0,10,14700.0,118.0,2,2.0,2
14,754,2015.0,10,12900.0,52.0,2,2.0,1
2,139,2016.0,10,38000.0,33.0,0,2.0,4
19,450,2005.0,10,15000.0,138.0,2,3.0,1
